customer_id,recommended_action,channel,expected_conversion_rate,expected_revenue_per_customer,cost_per_touch,expected_roi,reasoning
10662,会员日特权 + 积分翻倍,app_push,0.15,106.07,2.0,52.03,"segment=Loyal Customers 忠诚用户, clv=707.0"
12044,VIP 专属 9 折 + 私人客服回访,email,0.18,47.76,2.0,22.88,"segment=Champions 冠军 VIP, clv=265.0"
12773,会员日特权 + 积分翻倍,app_push,0.15,7.16,2.0,2.58,"segment=Potential Loyalists 潜力用户, clv=48.0"
13122,会员日特权 + 积分翻倍,app_push,0.15,112.83,2.0,55.42,"segment=Loyal Customers 忠诚用户, clv=752.0"
13353,会员日特权 + 积分翻倍,app_push,0.15,106.13,2.0,52.06,"segment=Loyal Customers 忠诚用户, clv=708.0"
13942,VIP 专属 9 折 + 私人客服回访,email,0.18,38.0,2.0,18.0,"segment=Champions 冠军 VIP, clv=211.0"
15247,VIP 专属 9 折 + 私人客服回访,email,0.18,33.85,2.0,15.92,"segment=Champions 冠军 VIP, clv=188.0"
15743,会员日特权 + 积分翻倍,app_push,0.15,138.63,2.0,68.32,"segment=Loyal Customers 忠诚用户, clv=924.0"
16112,会员日特权 + 积分翻倍,app_push,0.15,13.56,2.0,5.78,"segment=Potential Loyalists 潜力用户, clv=90.0"
16870,VIP 专属 9 折 + 私人客服回访,email,0.18,73.86,2.0,35.93,"segment=Champions 冠军 VIP, clv=410.0"
17127,会员日特权 + 积分翻倍,app_push,0.15,74.88,2.0,36.44,"segment=Loyal Customers 忠诚用户, clv=499.0"
17735,VIP 专属 9 折 + 私人客服回访,email,0.18,59.03,2.0,28.52,"segment=Champions 冠军 VIP, clv=328.0"
17888,会员日特权 + 积分翻倍,app_push,0.15,13.62,2.0,5.81,"segment=Potential Loyalists 潜力用户, clv=91.0"
18032,会员日特权 + 积分翻倍,app_push,0.15,11.69,2.0,4.84,"segment=Potential Loyalists 潜力用户, clv=78.0"
18104,会员日特权 + 积分翻倍,app_push,0.15,121.23,2.0,59.62,"segment=Loyal Customers 忠诚用户, clv=808.0"
18150,会员日特权 + 积分翻倍,app_push,0.15,16.0,2.0,7.0,"segment=Potential Loyalists 潜力用户, clv=107.0"
18292,VIP 专属 9 折 + 私人客服回访,email,0.18,95.08,2.0,46.54,"segment=Champions 冠军 VIP, clv=528.0"
18475,会员日特权 + 积分翻倍,app_push,0.15,11.19,2.0,4.59,"segment=Potential Loyalists 潜力用户, clv=75.0"
18750,VIP 专属 9 折 + 私人客服回访,email,0.18,106.39,2.0,52.2,"segment=Champions 冠军 VIP, clv=591.0"
19552,会员日特权 + 积分翻倍,app_push,0.15,191.58,2.0,94.79,"segment=Loyal Customers 忠诚用户, clv=1277.0"
20307,VIP 专属 9 折 + 私人客服回访,email,0.18,100.14,2.0,49.07,"segment=Champions 冠军 VIP, clv=556.0"
20620,会员日特权 + 积分翻倍,app_push,0.15,14.77,2.0,6.39,"segment=Potential Loyalists 潜力用户, clv=98.0"
21365,会员日特权 + 积分翻倍,app_push,0.15,14.43,2.0,6.21,"segment=Potential Loyalists 潜力用户, clv=96.0"
21530,会员日特权 + 积分翻倍,app_push,0.15,6.91,2.0,2.46,"segment=Potential Loyalists 潜力用户, clv=46.0"
21692,会员日特权 + 积分翻倍,app_push,0.15,10.36,2.0,4.18,"segment=Potential Loyalists 潜力用户, clv=69.0"
22577,VIP 专属 9 折 + 私人客服回访,email,0.18,85.27,2.0,41.63,"segment=Champions 冠军 VIP, clv=474.0"
22581,会员日特权 + 积分翻倍,app_push,0.15,81.5,2.0,39.75,"segment=Loyal Customers 忠诚用户, clv=543.0"
23707,VIP 专属 9 折 + 私人客服回访,email,0.18,55.61,2.0,26.81,"segment=Champions 冠军 VIP, clv=309.0"
23885,会员日特权 + 积分翻倍,app_push,0.15,6.0,2.0,2.0,"segment=Potential Loyalists 潜力用户, clv=40.0"
24461,VIP 专属 9 折 + 私人客服回访,email,0.18,71.33,2.0,34.67,"segment=Champions 冠军 VIP, clv=396.0"
24514,VIP 专属 9 折 + 私人客服回访,email,0.18,43.57,2.0,20.78,"segment=Champions 冠军 VIP, clv=242.0"
24870,会员日特权 + 积分翻倍,app_push,0.15,10.62,2.0,4.31,"segment=Potential Loyalists 潜力用户, clv=71.0"
24959,会员日特权 + 积分翻倍,app_push,0.15,249.01,2.0,123.51,"segment=Loyal Customers 忠诚用户, clv=1660.0"
25027,会员日特权 + 积分翻倍,app_push,0.15,112.5,2.0,55.25,"segment=Loyal Customers 忠诚用户, clv=750.0"
26429,会员日特权 + 积分翻倍,app_push,0.15,194.02,2.0,96.01,"segment=Loyal Customers 忠诚用户, clv=1293.0"
27052,VIP 专属 9 折 + 私人客服回访,email,0.18,37.85,2.0,17.92,"segment=Champions 冠军 VIP, clv=210.0"
27517,会员日特权 + 积分翻倍,app_push,0.15,23.71,2.0,10.86,"segment=Potential Loyalists 潜力用户, clv=158.0"
27991,会员日特权 + 积分翻倍,app_push,0.15,2.65,2.0,0.33,"segment=Potential Loyalists 潜力用户, clv=18.0"
28132,会员日特权 + 积分翻倍,app_push,0.15,185.45,2.0,91.72,"segment=Loyal Customers 忠诚用户, clv=1236.0"
29312,会员日特权 + 积分翻倍,app_push,0.15,10.44,2.0,4.22,"segment=Potential Loyalists 潜力用户, clv=70.0"
30421,会员日特权 + 积分翻倍,app_push,0.15,24.12,2.0,11.06,"segment=Potential Loyalists 潜力用户, clv=161.0"
30451,会员日特权 + 积分翻倍,app_push,0.15,7.17,2.0,2.58,"segment=Potential Loyalists 潜力用户, clv=48.0"
31054,VIP 专属 9 折 + 私人客服回访,email,0.18,31.94,2.0,14.97,"segment=Champions 冠军 VIP, clv=177.0"
31488,VIP 专属 9 折 + 私人客服回访,email,0.18,87.77,2.0,42.89,"segment=Champions 冠军 VIP, clv=488.0"
31559,VIP 专属 9 折 + 私人客服回访,email,0.18,15.79,2.0,6.89,"segment=Champions 冠军 VIP, clv=88.0"
32093,会员日特权 + 积分翻倍,app_push,0.15,16.14,2.0,7.07,"segment=Potential Loyalists 潜力用户, clv=108.0"
34889,VIP 专属 9 折 + 私人客服回访,email,0.18,33.45,2.0,15.73,"segment=Champions 冠军 VIP, clv=186.0"
34908,会员日特权 + 积分翻倍,app_push,0.15,5.6,2.0,1.8,"segment=Potential Loyalists 潜力用户, clv=37.0"
34940,VIP 专属 9 折 + 私人客服回访,email,0.18,83.96,2.0,40.98,"segment=Champions 冠军 VIP, clv=466.0"
35324,会员日特权 + 积分翻倍,app_push,0.15,9.4,2.0,3.7,"segment=Potential Loyalists 潜力用户, clv=63.0"
35949,会员日特权 + 积分翻倍,app_push,0.15,56.99,2.0,27.49,"segment=Loyal Customers 忠诚用户, clv=380.0"
36423,VIP 专属 9 折 + 私人客服回访,email,0.18,77.23,2.0,37.61,"segment=Champions 冠军 VIP, clv=429.0"
37135,VIP 专属 9 折 + 私人客服回访,email,0.18,35.13,2.0,16.56,"segment=Champions 冠军 VIP, clv=195.0"
37355,会员日特权 + 积分翻倍,app_push,0.15,2.86,2.0,0.43,"segment=Potential Loyalists 潜力用户, clv=19.0"
38112,会员日特权 + 积分翻倍,app_push,0.15,369.73,2.0,183.87,"segment=Loyal Customers 忠诚用户, clv=2465.0"
38909,VIP 专属 9 折 + 私人客服回访,email,0.18,42.88,2.0,20.44,"segment=Champions 冠军 VIP, clv=238.0"
39323,会员日特权 + 积分翻倍,app_push,0.15,98.0,2.0,48.0,"segment=Loyal Customers 忠诚用户, clv=653.0"
39717,VIP 专属 9 折 + 私人客服回访,email,0.18,46.69,2.0,22.35,"segment=Champions 冠军 VIP, clv=259.0"
40085,会员日特权 + 积分翻倍,app_push,0.15,276.05,2.0,137.02,"segment=Loyal Customers 忠诚用户, clv=1840.0"
40504,会员日特权 + 积分翻倍,app_push,0.15,5.16,2.0,1.58,"segment=Potential Loyalists 潜力用户, clv=34.0"
40832,会员日特权 + 积分翻倍,app_push,0.15,7.99,2.0,3.0,"segment=Potential Loyalists 潜力用户, clv=53.0"
41274,会员日特权 + 积分翻倍,app_push,0.15,248.94,2.0,123.47,"segment=Loyal Customers 忠诚用户, clv=1660.0"
41906,VIP 专属 9 折 + 私人客服回访,email,0.18,94.46,2.0,46.23,"segment=Champions 冠军 VIP, clv=525.0"
42562,会员日特权 + 积分翻倍,app_push,0.15,236.51,2.0,117.26,"segment=Loyal Customers 忠诚用户, clv=1577.0"
42751,VIP 专属 9 折 + 私人客服回访,email,0.18,30.86,2.0,14.43,"segment=Champions 冠军 VIP, clv=171.0"
42997,VIP 专属 9 折 + 私人客服回访,email,0.18,77.82,2.0,37.91,"segment=Champions 冠军 VIP, clv=432.0"
43341,会员日特权 + 积分翻倍,app_push,0.15,10.35,2.0,4.17,"segment=Potential Loyalists 潜力用户, clv=69.0"
43371,会员日特权 + 积分翻倍,app_push,0.15,180.04,2.0,89.02,"segment=Loyal Customers 忠诚用户, clv=1200.0"
44291,VIP 专属 9 折 + 私人客服回访,email,0.18,47.33,2.0,22.66,"segment=Champions 冠军 VIP, clv=263.0"
44872,会员日特权 + 积分翻倍,app_push,0.15,40.88,2.0,19.44,"segment=Potential Loyalists 潜力用户, clv=272.0"
46216,VIP 专属 9 折 + 私人客服回访,email,0.18,122.25,2.0,60.13,"segment=Champions 冠军 VIP, clv=679.0"
46574,VIP 专属 9 折 + 私人客服回访,email,0.18,104.29,2.0,51.15,"segment=Champions 冠军 VIP, clv=579.0"
46767,会员日特权 + 积分翻倍,app_push,0.15,35.13,2.0,16.57,"segment=Potential Loyalists 潜力用户, clv=234.0"
46826,VIP 专属 9 折 + 私人客服回访,email,0.18,24.3,2.0,11.15,"segment=Champions 冠军 VIP, clv=135.0"
46976,会员日特权 + 积分翻倍,app_push,0.15,22.21,2.0,10.11,"segment=Potential Loyalists 潜力用户, clv=148.0"
47615,会员日特权 + 积分翻倍,app_push,0.15,30.67,2.0,14.34,"segment=Potential Loyalists 潜力用户, clv=204.0"
48970,会员日特权 + 积分翻倍,app_push,0.15,24.75,2.0,11.38,"segment=Potential Loyalists 潜力用户, clv=165.0"
