customer_id,recommended_action,channel,expected_conversion_rate,expected_revenue_per_customer,cost_per_touch,expected_roi,reasoning
10662,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
12044,个性化推荐,app_push,0.35,0.06,1.0,-0.94,潜力客户活跃度高，个性化推荐可提升购买频次。
12773,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
13122,专属优惠活动,email,0.65,0.01,2.0,-0.99,核心客户忠诚度高，优惠活动可提升复购率。
13353,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
13942,个性化推荐,app_push,0.35,31.32,1.0,30.32,潜力客户活跃度高，个性化推荐可提升购买频次。
15247,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
15743,专属优惠活动,email,0.65,0.02,2.0,-0.99,核心客户忠诚度高，优惠活动可提升复购率。
16112,召回激励计划,sms,0.25,15.94,1.5,9.63,流失风险客户需要针对性激励以降低流失率。
16870,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
17127,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
17735,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
17888,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
18032,召回激励计划,sms,0.125,6.3,1.5,3.2,流失风险客户需要针对性激励以降低流失率。
18104,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
18150,召回激励计划,sms,0.125,7.0,1.5,3.67,流失风险客户需要针对性激励以降低流失率。
18292,个性化推荐,app_push,0.35,3.74,1.0,2.74,潜力客户活跃度高，个性化推荐可提升购买频次。
18475,召回激励计划,sms,0.125,6.45,1.5,3.3,流失风险客户需要针对性激励以降低流失率。
18750,个性化推荐,app_push,0.35,0.01,1.0,-0.99,潜力客户活跃度高，个性化推荐可提升购买频次。
19552,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
20307,个性化推荐,app_push,0.35,0.12,1.0,-0.88,潜力客户活跃度高，个性化推荐可提升购买频次。
20620,召回激励计划,sms,0.125,7.11,1.5,3.74,流失风险客户需要针对性激励以降低流失率。
21365,召回激励计划,sms,0.125,6.62,1.5,3.41,流失风险客户需要针对性激励以降低流失率。
21530,召回激励计划,sms,0.125,3.39,1.5,1.26,流失风险客户需要针对性激励以降低流失率。
21692,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
22577,个性化推荐,app_push,0.35,0.02,1.0,-0.98,潜力客户活跃度高，个性化推荐可提升购买频次。
22581,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
23707,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
23885,召回激励计划,sms,0.125,2.35,1.5,0.57,流失风险客户需要针对性激励以降低流失率。
24461,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
24514,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
24870,召回激励计划,sms,0.125,6.29,1.5,3.19,流失风险客户需要针对性激励以降低流失率。
24959,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
25027,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
26429,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
27052,个性化推荐,app_push,0.35,4.69,1.0,3.69,潜力客户活跃度高，个性化推荐可提升购买频次。
27517,召回激励计划,sms,0.125,9.91,1.5,5.6,流失风险客户需要针对性激励以降低流失率。
27991,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
28132,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
29312,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
30421,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
30451,召回激励计划,sms,0.125,3.38,1.5,1.25,流失风险客户需要针对性激励以降低流失率。
31054,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
31488,个性化推荐,app_push,0.175,31.45,1.0,30.45,潜力客户活跃度高，个性化推荐可提升购买频次。
31559,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
32093,召回激励计划,sms,0.125,6.85,1.5,3.57,流失风险客户需要针对性激励以降低流失率。
34889,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
34908,召回激励计划,sms,0.125,3.18,1.5,1.12,流失风险客户需要针对性激励以降低流失率。
34940,个性化推荐,app_push,0.35,0.02,1.0,-0.98,潜力客户活跃度高，个性化推荐可提升购买频次。
35324,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
35949,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
36423,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
37135,个性化推荐,app_push,0.35,3.97,1.0,2.97,潜力客户活跃度高，个性化推荐可提升购买频次。
37355,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
38112,专属优惠活动,email,0.65,7.86,2.0,2.93,核心客户忠诚度高，优惠活动可提升复购率。
38909,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
39323,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
39717,个性化推荐,app_push,0.35,0.0,1.0,-1.0,潜力客户活跃度高，个性化推荐可提升购买频次。
40085,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
40504,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
40832,召回激励计划,sms,0.125,nan,1.5,nan,流失风险客户需要针对性激励以降低流失率。
41274,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
41906,个性化推荐,app_push,0.1751,2.03,1.0,1.03,潜力客户活跃度高，个性化推荐可提升购买频次。
42562,专属优惠活动,email,0.65,0.0,2.0,-1.0,核心客户忠诚度高，优惠活动可提升复购率。
